Model,MAE,RMSE,R2 Score
Linear Regression,4.00812367955486,4.973114187467858,0.894885221853219
Ridge Regression,4.005366086766189,4.968180843957148,0.895093666734629
Lasso Regression,4.205270463848093,5.173074267097132,0.8862623259883136
Decision Tree,6.146099999999999,7.972645483150496,0.7298457392000349
Random Forest,4.4808175,5.606193501124447,0.8664194943979824
Gradient Boosting,4.280809309727201,5.363962869658363,0.8777135207095286
XGBoost,4.8336860443115235,6.066433730246672,0.8435866451459617
